transcript_id,1101.2.gtf,1548.2.gtf,1628.2.gtf,Sample4.2.gtf,Sample5.2.gtf,Sample6.2.gtf
Montipora_capitata_PredGene_g66898.t1,1,0,0,19,11,15
Montipora_capitata_PredGene_g3871.t1,159,188,96,19,8,13
Montipora_capitata_PredGene_g25581.t1,0,0,0,4,10,6
Montipora_capitata_PredGene_g21754.t1,1605,1083,526,72,46,41
Montipora_capitata_PredGene_g18046.t1,0,0,0,20,10,6
Montipora_capitata_PredGene_g71477.t1,4,0,0,0,8,1
Montipora_capitata_PredGene_g5236.t1,0,0,0,10,9,9
Montipora_capitata_PredGene_g16364.t1,7,11,12,22,26,24
Montipora_capitata_PredGene_g21186.t1,71,58,60,4,0,0
Montipora_capitata_PredGene_g69486.t1,48,66,3,0,3,5
Montipora_capitata_PredGene_g23322.t1,0,0,0,5,0,6
Montipora_capitata_PredGene_g67000.t1,0,0,0,5,2,7
Montipora_capitata_PredGene_g46219.t1,20,326,0,11,11,0
Montipora_capitata_PredGene_g10660.t1,0,0,0,1,5,2
Montipora_capitata_PredGene_g34499.t1,39,47,0,3,7,10
Montipora_capitata_PredGene_g28003.t1,292,176,235,16,15,12
Montipora_capitata_PredGene_g4890.t1,1,0,0,3,5,5
Montipora_capitata_PredGene_adi2mcaRNA23140_R2.t1,2505,2704,2023,22,22,38
Montipora_capitata_PredGene_g70011.t1,1205,817,528,167,154,145
Montipora_capitata_PredGene_g69122.t1,7,2,3,9,4,0
Montipora_capitata_PredGene_g55148.t1,36,114,64,12,5,10
Montipora_capitata_PredGene_adi2mcaRNA13805_R9.t1,8,0,12,18,6,3
Montipora_capitata_PredGene_g36171.t1,74,49,23,0,7,12
Montipora_capitata_PredGene_adi2mcaRNA12255_R2.t1,41,19,34,9,9,4
Montipora_capitata_PredGene_g12697.t1,11,6,7,16,42,24
Montipora_capitata_PredGene_g42554.t1,0,0,0,4,14,10
Montipora_capitata_PredGene_g11793.t1,0,4,2,11,8,10
Montipora_capitata_PredGene_g50276.t1,0,0,0,22,14,6
Montipora_capitata_PredGene_g42214.t1,186,121,69,15,13,12
Montipora_capitata_PredGene_g19974.t1,0,0,0,16,17,4
Montipora_capitata_PredGene_g14523.t1,0,0,0,4,8,0
Montipora_capitata_PredGene_g27872.t1,0,0,0,0,10,8
Montipora_capitata_PredGene_g25850.t1,0,0,0,10,11,11
Montipora_capitata_PredGene_g66323.t1,79,48,79,11,8,13
Montipora_capitata_PredGene_g35650.t1,0,0,0,7,4,5
Montipora_capitata_PredGene_g32325.t1,84,85,68,7,11,0
Montipora_capitata_PredGene_g35255.t1,722,603,1343,37,25,23
Montipora_capitata_PredGene_g51394.t1,0,6,0,13,8,10
